[2026-04-19T22:10:16.360+0100][0.602s][info][gc,metaspace] GC(8) Metaspace: 239K(448K)->239K(448K) NonClass: 227K(320K)->227K(320K) Class: 11K(128K)->11K(128K)
[2026-04-19T22:10:16.360+0100][0.602s][info][gc          ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 95M->5M(189M) 1.539ms
[2026-04-19T22:10:16.360+0100][0.602s][info][gc,cpu      ] GC(8) User=0.01s Sys=0.00s Real=0.01s
[2026-04-19T22:10:16.447+0100][0.690s][info][gc,start    ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-19T22:10:16.447+0100][0.690s][info][gc,task     ] GC(9) Using 4 workers of 8 for evacuation
[2026-04-19T22:10:16.448+0100][0.691s][info][gc,phases   ] GC(9)   Pre Evacuate Collection Set: 0.1ms
[2026-04-19T22:10:16.448+0100][0.691s][info][gc,phases   ] GC(9)   Merge Heap Roots: 0.0ms
[2026-04-19T22:10:16.448+0100][0.691s][info][gc,phases   ] GC(9)   Evacuate Collection Set: 0.9ms
[2026-04-19T22:10:16.448+0100][0.691s][info][gc,phases   ] GC(9)   Post Evacuate Collection Set: 0.1ms
[2026-04-19T22:10:16.448+0100][0.691s][info][gc,phases   ] GC(9)   Other: 0.1ms
[2026-04-19T22:10:16.448+0100][0.691s][info][gc,heap     ] GC(9) Eden regions: 109->0(109)
[2026-04-19T22:10:16.448+0100][0.691s][info][gc,heap     ] GC(9) Survivor regions: 4->4(15)
[2026-04-19T22:10:16.448+0100][0.691s][info][gc,heap     ] GC(9) Old regions: 3->3
[2026-04-19T22:10:16.448+0100][0.691s][info][gc,heap     ] GC(9) Humongous regions: 0->0
[2026-04-19T22:10:16.448+0100][0.691s][info][gc,metaspace] GC(9) Metaspace: 239K(448K)->239K(448K) NonClass: 227K(320K)->227K(320K) Class: 11K(128K)->11K(128K)
[2026-04-19T22:10:16.448+0100][0.691s][info][gc          ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 114M->5M(189M) 1.310ms
[2026-04-19T22:10:16.448+0100][0.691s][info][gc,cpu      ] GC(9) User=0.01s Sys=0.00s Real=0.00s
[2026-04-19T22:10:16.529+0100][0.772s][info][gc,start    ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-19T22:10:16.529+0100][0.772s][info][gc,task     ] GC(10) Using 4 workers of 8 for evacuation
[2026-04-19T22:10:16.530+0100][0.773s][info][gc,phases   ] GC(10)   Pre Evacuate Collection Set: 0.1ms
[2026-04-19T22:10:16.530+0100][0.773s][info][gc,phases   ] GC(10)   Merge Heap Roots: 0.0ms
[2026-04-19T22:10:16.530+0100][0.773s][info][gc,phases   ] GC(10)   Evacuate Collection Set: 0.9ms
[2026-04-19T22:10:16.530+0100][0.773s][info][gc,phases   ] GC(10)   Post Evacuate Collection Set: 0.1ms
[2026-04-19T22:10:16.530+0100][0.773s][info][gc,phases   ] GC(10)   Other: 0.0ms
[2026-04-19T22:10:16.530+0100][0.773s][info][gc,heap     ] GC(10) Eden regions: 109->0(109)
[2026-04-19T22:10:16.530+0100][0.773s][info][gc,heap     ] GC(10) Survivor regions: 4->4(15)
[2026-04-19T22:10:16.530+0100][0.773s][info][gc,heap     ] GC(10) Old regions: 3->3
[2026-04-19T22:10:16.530+0100][0.773s][info][gc,heap     ] GC(10) Humongous regions: 0->0
[2026-04-19T22:10:16.530+0100][0.773s][info][gc,metaspace] GC(10) Metaspace: 239K(448K)->239K(448K) NonClass: 227K(320K)->227K(320K) Class: 11K(128K)->11K(128K)
[2026-04-19T22:10:16.530+0100][0.773s][info][gc          ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 114M->5M(189M) 1.225ms
[2026-04-19T22:10:16.530+0100][0.773s][info][gc,cpu      ] GC(10) User=0.01s Sys=0.00s Real=0.01s
[2026-04-19T22:10:16.608+0100][0.851s][info][gc,start    ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-19T22:10:16.609+0100][0.851s][info][gc,task     ] GC(11) Using 4 workers of 8 for evacuation
[2026-04-19T22:10:16.610+0100][0.852s][info][gc,phases   ] GC(11)   Pre Evacuate Collection Set: 0.1ms
[2026-04-19T22:10:16.610+0100][0.852s][info][gc,phases   ] GC(11)   Merge Heap Roots: 0.0ms
[2026-04-19T22:10:16.610+0100][0.852s][info][gc,phases   ] GC(11)   Evacuate Collection Set: 0.9ms
[2026-04-19T22:10:16.610+0100][0.852s][info][gc,phases   ] GC(11)   Post Evacuate Collection Set: 0.1ms
